,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
61,frozenset({'Margherita'}),frozenset({'Focaccia'}),0.12275770749013142,0.3940438714835357,0.06153500224853845,0.5012720056985855,1.2721223243781121,0.013163079934683644,1.2150032391208518
62,frozenset({'Wild Mushroom'}),frozenset({'Focaccia'}),0.1345875181132264,0.3940438714835357,0.06674411632438915,0.4959160943010953,1.25853015410193,0.013710729633692936,1.2020937817411872
63,frozenset({'Focaccia'}),frozenset({'Wild Mushroom'}),0.3940438714835357,0.1345875181132264,0.06674411632438915,0.1693824499112351,1.25853015410193,0.013710729633692936,1.0418904365725121
64,frozenset({'Fire Pie'}),frozenset({'Focaccia'}),0.0663943436766102,0.3940438714835357,0.0322290511167741,0.4854186265286924,1.2318898012577633,0.006066766889834204,1.1775710504808072
65,frozenset({'Focaccia'}),frozenset({'Fire Pie'}),0.3940438714835357,0.0663943436766102,0.0322290511167741,0.08179051483641897,1.231889801257763,0.006066766889834204,1.0167676019563945
66,frozenset({'Ricotta Pillows'}),frozenset({'Focaccia'}),0.1251311647429171,0.3940438714835357,0.06068555438964673,0.48497554157931516,1.2307653453749472,0.011378385791103562,1.1765579645957398
67,frozenset({'Focaccia'}),frozenset({'Ricotta Pillows'}),0.3940438714835357,0.1251311647429171,0.06068555438964673,0.1540071011919858,1.2307653453749472,0.011378385791103562,1.0341325990912622
68,frozenset({'Focaccia'}),frozenset({'Pepperoni Pizza'}),0.3940438714835357,0.06749362914105832,0.03257882376455304,0.08267816383464367,1.2249773035889127,0.0059833728373364335,1.0165531159239167
69,frozenset({'Pepperoni Pizza'}),frozenset({'Focaccia'}),0.06749362914105832,0.3940438714835357,0.03257882376455304,0.48269479918563757,1.2249773035889127,0.0059833728373364335,1.1713706484345106
70,frozenset({'Focaccia'}),frozenset({'Etta Rita'}),0.3940438714835357,0.12764203267875882,0.06048568430520162,0.15349987319300026,1.2025809208109275,0.010189123584435515,1.0305467650805644
71,frozenset({'Etta Rita'}),frozenset({'Focaccia'}),0.12764203267875882,0.3940438714835357,0.06048568430520162,0.47386964180857305,1.2025809208109273,0.010189123584435515,1.151722418374485
72,frozenset({'Little Gem Salad'}),frozenset({'Focaccia'}),0.11416329385899165,0.3940438714835357,0.05294058861739869,0.46372688477951635,1.1768407488070582,0.007955242323889063,1.1299394120612054
73,frozenset({'Focaccia'}),frozenset({'Little Gem Salad'}),0.3940438714835357,0.11416329385899165,0.05294058861739869,0.13435201623129597,1.1768407488070582,0.007955242323889063,1.0233220925258906
74,frozenset({'Spicy Meatballs'}),frozenset({'Focaccia'}),0.1681032328986159,0.3940438714835357,0.07647529106081047,0.4549305194322657,1.1545174341108209,0.010235242360541394,1.1117043792019168
75,frozenset({'Focaccia'}),frozenset({'Spicy Meatballs'}),0.3940438714835357,0.1681032328986159,0.07647529106081047,0.19407811311184375,1.1545174341108209,0.010235242360541394,1.0322300220850469
76,frozenset({'Caesar'}),frozenset({'Focaccia'}),0.09305201618947684,0.3940438714835357,0.04019887073402288,0.4320042958786414,1.0963355279507039,0.0035322940253727855,1.0668322385533309
77,frozenset({'Focaccia'}),frozenset({'Caesar'}),0.3940438714835357,0.09305201618947684,0.04019887073402288,0.10201623129596753,1.0963355279507039,0.0035322940253727855,1.0099826026025256
78,frozenset({'Bubbling Shrimp'}),frozenset({'Focaccia'}),0.2004572028181682,0.3940438714835357,0.08372058162194573,0.4176481585343054,1.0599026878958984,0.0047316493567144124,1.0405326906692032
79,frozenset({'Focaccia'}),frozenset({'Bubbling Shrimp'}),0.3940438714835357,0.2004572028181682,0.08372058162194573,0.21246512807506973,1.0599026878958984,0.0047316493567144124,1.015247483870208
80,frozenset({'Rack Roasted Oysters'}),frozenset({'Focaccia'}),0.08690601109278968,0.3940438714835357,0.03616399340428721,0.41612764122466583,1.0560439365748462,0.0019192123380932652,1.0378229409377258
81,frozenset({'Focaccia'}),frozenset({'Rack Roasted Oysters'}),0.3940438714835357,0.08690601109278968,0.03616399340428721,0.09177656606644687,1.0560439365748462,0.0019192123380932652,1.0053627277073909
